ord,n
yta,3
fråga,2
~000000001,1
1875-1939,1
annan,1
ännu,1
ansvarsskyldig,1
använde,1
år,1
arbeta,1
beroende,1
beröra,1
bioelektronik,1
bra,1
demokrati,1
didaktisk,1
distansundervisning,1
dropp,1
egenskap,1
egentligen,1
elev,1
finland,1
fokus,1
forska,1
framtid,1
friktion,1
fungera,1
gentemot,1
hal,1
hållbara,1
halvledare,1
hybridalärmiljö,1
idrottsförening,1
idrottsföreningars,1
innebära,1
jagundersök,1
jämlikhet,1
klassificera,1
kognition,1
kommunicerar,1
kommunikation,1
kontrakte,1
koppla,1
kvalitet,1
kvinnogymnastik,1
läkare,1
lättspråk,1
lju,1
lopp,1
människorättsstad,1
mänsklig,1
matematiksvårighet,1
mäter,1
material,1
medborgare,1
medborgarperspektiv,1
mental,1
minimal,1
minnessjuk,1
möjliggöra,1
motivation,1
musik,1
musikkultur,1
newton,1
ohäls,1
olik,1
ord,1
organisk,1
patient,1
person,1
rättighet,1
röra,1
rörelse,1
samhälle,1
samma,1
samt,1
sång,1
sätt,1
slacktivism,1
solceller,1
specifik,1
språk,1
straffrätt,1
studera,1
studerar,1
system,1
tala,1
tillämpning,1
tillverkning,1
undersöka,1
ur,1
utsatthet,1
utslagning,1
välbefinnande,1
väldig,1
välfärdssamhälle,1
välfungerande,1
vårdpersonal,1
vattenavstötande,1
vattendropp,1
växelverkan,1
verksamhet,1
virtuellalärmiljöa,1
